Row Labels,Sum of Valuation
9/15/2015,2180924
9/16/2015,564044
9/17/2015,5763953
9/18/2015,188125
9/21/2015,706653
9/22/2015,796100
9/23/2015,316303.078
9/24/2015,544390
9/25/2015,291240
9/28/2015,316380
9/29/2015,91923
9/30/2015,641431
10/1/2015,608265
10/2/2015,249189
10/5/2015,168297
10/6/2015,259145
10/7/2015,101885
10/8/2015,197381
10/9/2015,91668
10/13/2015,470203
10/14/2015,2677736
10/15/2015,103719.05
10/16/2015,437610
10/19/2015,188779
10/20/2015,152188
10/21/2015,83900
10/22/2015,134486
10/23/2015,283626
10/26/2015,193299
10/27/2015,170028
10/28/2015,8314955
10/29/2015,827112
10/30/2015,1219269
11/2/2015,2083150
11/3/2015,338590
11/4/2015,230800
11/5/2015,366515
11/6/2015,277100
11/9/2015,397957
11/10/2015,278492
11/12/2015,531269
11/13/2015,207205
11/16/2015,484238
11/17/2015,78188
11/18/2015,498738
11/19/2015,69890
11/20/2015,351890
11/23/2015,1974379
11/24/2015,270345
11/25/2015,100622
11/30/2015,634388.1
12/1/2015,2819410
12/2/2015,1922623
12/3/2015,453753
12/4/2015,942443
12/7/2015,778500
12/8/2015,187669
12/9/2015,375359
12/10/2015,176888
12/11/2015,6565707
12/12/2015,0
12/14/2015,59935.68
12/15/2015,827962
12/16/2015,275700
12/17/2015,2597090
12/18/2015,501697
12/21/2015,99800
12/22/2015,280212
12/23/2015,309300
12/24/2015,3728722
12/28/2015,100733
12/29/2015,121644
12/30/2015,152798
12/31/2015,3447400
1/4/2016,38867
1/5/2016,243325
1/6/2016,730453
1/7/2016,84024
1/8/2016,125950
1/9/2016,0
1/11/2016,787660
1/12/2016,132370
1/13/2016,153260
1/14/2016,311147
1/15/2016,64500
1/19/2016,71732
1/20/2016,351608
1/21/2016,1801820
1/22/2016,230736
1/25/2016,224497
1/26/2016,341673
1/27/2016,2325007
1/28/2016,26170
1/29/2016,1507521.36
2/1/2016,4964352
2/2/2016,342219.35
2/3/2016,474029
2/4/2016,580110
2/5/2016,1060812
2/8/2016,2407842
2/9/2016,7215700
2/10/2016,126589
2/11/2016,107625
2/12/2016,24625
2/16/2016,122980
2/17/2016,24993
2/18/2016,159071
2/19/2016,1344331
2/22/2016,56700
2/23/2016,771907.46
2/24/2016,102607.82
2/25/2016,83400
2/26/2016,150211
2/29/2016,176768
3/1/2016,72149
3/2/2016,328166
3/3/2016,485746
3/4/2016,25962
3/7/2016,57610
3/8/2016,1639500
3/9/2016,861000
3/10/2016,290837
3/11/2016,1905953.29
3/14/2016,223870
3/15/2016,180850
3/16/2016,324485
3/17/2016,75150
3/18/2016,15137908
3/21/2016,648008.96
3/22/2016,764600
3/23/2016,140240
3/24/2016,1429625
3/25/2016,1367859
3/28/2016,168043.75
3/29/2016,94452
3/30/2016,171415
3/31/2016,54408.24
4/1/2016,582575
4/3/2016,0
4/4/2016,16700
4/5/2016,369822.28
4/6/2016,105675
4/7/2016,113888
4/8/2016,3381950
4/11/2016,199945
4/12/2016,2854878
4/13/2016,569012
4/14/2016,369240
4/15/2016,142548
4/18/2016,207466.93
4/19/2016,506217.9
4/20/2016,286400
4/21/2016,242400
4/22/2016,3158100
4/25/2016,25885
4/26/2016,435676
4/27/2016,92430
4/28/2016,592852.13
4/29/2016,1158322.74
5/2/2016,171521
5/3/2016,14454280
5/4/2016,610140
5/5/2016,674913.23
5/6/2016,1632791
5/9/2016,348805
5/10/2016,896512.36
5/11/2016,952400
5/12/2016,5073088
5/13/2016,323291
5/15/2016,0
5/16/2016,47200
5/17/2016,1664892
5/18/2016,209829.61
5/19/2016,141021
5/20/2016,705370
5/23/2016,4511670.68
5/24/2016,750020
5/25/2016,191919
5/26/2016,560198
5/27/2016,7163720
5/31/2016,93251
6/1/2016,217911.9
6/2/2016,520700.92
6/3/2016,338953.97
6/6/2016,899531
6/7/2016,1205580.93
6/8/2016,1722240
6/9/2016,2654984
6/10/2016,284399
6/13/2016,31677
6/14/2016,3248275
6/15/2016,668961
6/16/2016,2322434
6/17/2016,1620850
6/20/2016,255114.56
6/21/2016,268841
6/22/2016,2071632
6/23/2016,20050
6/24/2016,677270
6/25/2016,0
6/27/2016,291325
6/28/2016,542900
6/29/2016,4411430
6/30/2016,3628025
7/1/2016,97175
7/5/2016,896175
7/6/2016,376550
7/7/2016,7628265.53
7/8/2016,631913
7/9/2016,0
7/11/2016,218466.15
7/12/2016,446725
7/13/2016,311727.03
7/14/2016,151900
7/15/2016,550057
7/18/2016,505697
7/19/2016,292391
7/20/2016,255800
7/21/2016,3253100
7/22/2016,446260
7/25/2016,74900
7/26/2016,1914626
7/27/2016,223442
7/28/2016,48162
7/29/2016,68200
8/1/2016,741678.5
8/2/2016,788513
8/3/2016,150100
8/4/2016,243634
8/5/2016,1087833
8/6/2016,0
8/9/2016,473203
8/10/2016,88400
8/11/2016,1064190
8/12/2016,185327.5
8/13/2016,0
8/15/2016,380250
8/16/2016,348983
8/17/2016,413064
8/18/2016,1536820
8/19/2016,407388
8/20/2016,0
8/22/2016,209900
8/23/2016,2818625
8/24/2016,4557350
8/25/2016,11314973
8/26/2016,1196709
8/27/2016,0
8/28/2016,1334000
8/29/2016,1374214
8/30/2016,266981
8/31/2016,121026
9/1/2016,107640
9/2/2016,750625
9/3/2016,0
9/6/2016,95150
9/7/2016,224161
9/8/2016,219905
9/9/2016,160095.55
9/12/2016,2906125
9/13/2016,36420
9/14/2016,342426
9/15/2016,290344.41
9/16/2016,8845203
9/17/2016,0
9/19/2016,83984
9/20/2016,306940
9/21/2016,414412
9/22/2016,67214.15
9/23/2016,451850
9/26/2016,3105575
9/27/2016,319525
9/28/2016,201765
9/29/2016,134587
9/30/2016,224100
10/1/2016,0
10/3/2016,22152
10/4/2016,650233
10/5/2016,87024
10/6/2016,13073995
10/7/2016,1424099
10/11/2016,244560
10/12/2016,248025.72
10/13/2016,971535
10/14/2016,607958.46
10/17/2016,150825
10/18/2016,606164
10/19/2016,262167
10/20/2016,831171
10/21/2016,165628.01
10/24/2016,1620995
10/25/2016,231474
10/26/2016,170000
10/27/2016,97850
10/28/2016,55950
10/29/2016,0
10/31/2016,518395
11/1/2016,699489.23
11/2/2016,62400
