objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,Count
80507,80507,66,10474,ColBeaNE,Colvin St & Beard Pl,,43.02583600000,-76.14433900000,,1
80508,80508,66,10476,SsaRicNW,S Salina St & Richfield Ave,S SALINA ST & RICHFIELD AVE,42.98898100000,-76.14430700000,,1
85175,85175,66,7017,ButScnNE,Butternut St & Schneider St,,43.06245100000,-76.14429600000,,1
83892,83892,66,11218,GraCraNE,Grant Blvd & Craig St,,43.07295300000,-76.14425600000,,1
82253,82253,66,17855,DorSsaNW,Dorwin Ave & S.Salina St,,42.98540000000,-76.14425100000,,1
82297,82297,66,10851,ValVisLM,Valley Vista Apts,W SENECA TPKE & UNNAMED STREET,43.00094000000,-76.14422800000,,1
81861,81861,66,11328,OakKenNW,Oakwood Ave & E Kennedy St,,43.03152900000,-76.14420700000,,1
80215,80215,66,1580,SsaRihSE,S.Salina St & Richfield Ave,S SALINA ST & RICHFIELD AVE,42.98881100000,-76.14419700000,,1
82855,82855,66,1570,SsaMawWX,S.Salina St & Maplewood Ave,S SALINA ST & RICHFIELD AVE,42.98825600000,-76.14418500000,,1
85561,85561,66,6022,OakEkeNW,Oakwood Ave & E.Kennedy St,,43.03153800000,-76.14418200000,,1
83550,83550,66,1586,SsaHtnNW,S.Salina St & Hilton Rd,S SALINA ST & HILTON RD,42.99072600000,-76.14418100000,,1
79653,79653,66,11280,ParButSW,Park St & Butternut St,,43.06295200000,-76.14416000000,,1
80219,80219,66,1584,SsaConSE,S.Salina St & Conifer Dr,S SALINA ST & CONIFER DR,42.99055600000,-76.14412000000,,1
82830,82830,66,10561,AdaMcbSW,E Adams St & S McBride St,,43.04272000000,-76.14411600000,,1
80896,80896,66,1344,SsaAmhSE,S.Salina St & Amherst Ave,S SALINA ST & AMHERST AVE,43.02309600000,-76.14410800000,,1
82853,82853,66,1572,SsaMawSE,S.Salina St & Maplewood Ave,S SALINA ST & MAPLEWOOD AVE,42.98808500000,-76.14407400000,,1
83567,83567,66,1595,SsaSeaWX,S.Salina St & Searlwyn Rd,S SALINA ST & SEARLWYN RD,42.99155000000,-76.14406900000,,1
82650,82650,66,6019,OakEkeSE,Oakwood Ave & E.Kennedy St,,43.03141300000,-76.14405900000,,1
80574,80574,66,6642,EwsSmcSW,E.Washington St & S.McBride St,,43.04948800000,-76.14404400000,,1
85984,85984,66,1564,SsaSpaNW,S.Salina St & Spaulding Ave,S SALINA ST & OAKLEY DR E,42.98721700000,-76.14401400000,,1
83573,83573,66,1592,SsaSeaSE,S.Salina St & Searlwyn Rd,S SALINA ST & SEARLWYN RD,42.99138000000,-76.14400800000,,1
85530,85530,66,7606,LodDogWX,Lodi St & Douglas St,,43.05827900000,-76.14400700000,,1
83293,83293,66,10529,ButParNW,Butternut St & Park St,,43.06305100000,-76.14393800000,,1
81579,81579,66,8603,BurSmcSW,Burt St & S McBride St,,43.03837800000,-76.14391300000,,1
