objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
82161,82161,66,8258,ScrWavSE,S Crouse Av & Waverly Av,,43.04045700000,-76.13664200000
85263,85263,66,13207,OakGraSE,Oak St & Grant Blvd,,43.07227500000,-76.13664100000
82349,82349,66,8259,ScrMstSE,S Crouse Av & Marshall St,,43.04154100000,-76.13662800000
82668,82668,66,5088,JamFTILM,James St & Farmers & Traders Ins Co,,43.05815700000,-76.13662600000
81478,81478,66,14465,ScrUniNE,S Crouse Ave & University Pl,,43.03965200000,-76.13661900000
80586,80586,66,10319,MaiPleSE,S Main St & Pleasant Ave,,43.12678200000,-76.13661500000
83755,83755,66,6853,ScrEadSE,S.Crouse Ave & E.Adams St,,43.04257900000,-76.13660200000
81198,81198,66,6378,OakMenNE,Oak St & Mertens Ave,,43.07125400000,-76.13656800000
82107,82107,66,1875,MatBedNE,Malden Rd & Breman Ave,,43.10471200000,-76.13656400000
84827,84827,66,16278,McCMnrLM,McCarthy Manor,,43.04490700000,-76.13656100000
83433,83433,66,11801,R11KenNW,Route 11 & Kennedy Rd Spur,,42.95757300000,-76.13654100000
84987,84987,66,11485,DarHunSE,Darlington Rd & Huntley St,,43.07787900000,-76.13653300000
81819,81819,66,7790,ScrEbeNW,S.Crouse Ave & Erie Blvd E,ERIE BLVD E & S CROUSE AVE,43.05088700000,-76.13652700000
84918,84918,66,11900,R11KenSE,Route 11 & Kennedy Rd Spur,,42.95744700000,-76.13649200000
82678,82678,66,5339,SmaPlnNE,S.Main St & Pleasant Ave,,43.12693400000,-76.13649100000
85240,85240,66,6382,OakScvNE,Oak St & Scoville Ave,,43.06950800000,-76.13647200000
83611,83611,66,8307,DarBshNW,Darlington Rd & Berkshire Av,,43.07595400000,-76.13646200000
84238,84238,66,8103,NcrBunNW,N.Crouse Ave & Burnet Ave,,43.05227500000,-76.13645000000
83382,83382,66,6741,ScrEbeSE,S.Crouse Ave & Erie Blvd E,,43.05066300000,-76.13642800000
82482,82482,66,8578,DarBdrSE,Darlington Rd & Bender St,,43.07638400000,-76.13642400000
81664,81664,66,2155,EgeScuNE,E.Genesee St & S.Crouse Ave,,43.04689400000,-76.13641000000
83618,83618,66,8308,DarLstNW,Darlington Rd & Listman Av,,43.07484400000,-76.13640200000
85239,85239,66,6386,OakElnNE,Oak St & Elsner St,,43.06860400000,-76.13640000000
80093,80093,66,8059,NcrBunNE,N.Crouse Ave & Burnet Ave,,43.05225700000,-76.13638900000
83280,83280,66,6249,CotRodSW,Court St & Roxford Rd S,,43.08375200000,-76.13637500000
